epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
29,553.823,0.48959,0.54379,0.57393,0.98905,0,0.9472,0.85714,0.8854,0.68081,0.9472,0.85714,0.88508,0.83015,0.73545,3.45497,0.73841,1.14599,0,0.001307,0.001307,0.001307
30,572.93,0.49584,0.50262,0.55159,0.96266,0,0.92285,0.85454,0.88609,0.74039,0.92285,0.85454,0.88359,0.8327,0.66315,1.86212,0.71408,1.12381,0,0.00128225,0.00128225,0.00128225
31,591.741,0.48721,0.50968,0.51442,0.95388,0,0.99522,0.82143,0.86129,0.73243,0.99522,0.82143,0.85852,0.80693,0.61704,1.7424,0.69939,1.10815,0,0.0012575,0.0012575,0.0012575
32,610.909,0.45066,0.42207,0.50745,0.95789,0,0.99478,0.85714,0.88625,0.7228,0.99478,0.85714,0.88625,0.82127,0.62534,1.30719,0.61392,1.12621,0,0.00123275,0.00123275,0.00123275
33,629.946,0.46798,0.53123,0.51092,0.95801,0,0.98505,0.78571,0.87411,0.74497,0.98505,0.78571,0.87411,0.80818,0.59624,1.91892,0.65581,1.09391,0,0.001208,0.001208,0.001208
34,648.856,0.44057,0.56565,0.51673,0.9503,0,0.94255,0.85714,0.88514,0.74762,0.94255,0.85714,0.88393,0.83297,0.58722,1.17776,0.62024,1.11044,0,0.00118325,0.00118325,0.00118325
35,667.822,0.45202,0.4983,0.48022,0.94093,0,0.92187,0.89286,0.88389,0.71201,0.92187,0.89286,0.88389,0.81221,0.73267,1.28846,0.62915,1.20376,0,0.0011585,0.0011585,0.0011585
36,686.621,0.45266,0.52507,0.49607,0.94397,0,0.89252,0.88985,0.88696,0.7193,0.89252,0.88985,0.8843,0.81864,0.6635,1.61523,0.62813,1.16211,0,0.00113375,0.00113375,0.00113375
37,705.501,0.44124,0.54537,0.50151,0.95252,0,0.87748,0.85714,0.85524,0.72675,0.87748,0.85714,0.85469,0.80149,0.6138,1.65627,0.71001,1.09413,0,0.001109,0.001109,0.001109
38,726.363,0.44475,0.47076,0.50129,0.94675,0,0.88822,0.85157,0.88053,0.76176,0.88822,0.85157,0.88006,0.82794,0.54864,1.14995,0.68212,1.04259,0,0.00108425,0.00108425,0.00108425
39,748.877,0.41595,0.47451,0.45451,0.94172,0,0.92165,0.89286,0.88864,0.75974,0.92165,0.89286,0.88815,0.8321,0.563,1.27038,0.57415,1.05362,0,0.0010595,0.0010595,0.0010595
40,770.5,0.4291,0.51411,0.44462,0.93945,0,0.92549,0.8874,0.89084,0.76335,0.92549,0.8874,0.89084,0.83161,0.5905,1.45927,0.52821,1.071,0,0.00103475,0.00103475,0.00103475
41,792.136,0.42344,0.50968,0.4752,0.93523,0,0.99595,0.85714,0.90327,0.77815,0.99595,0.85714,0.88726,0.82612,0.62927,1.4833,0.56193,1.04084,0,0.00101,0.00101,0.00101
42,813.792,0.41318,0.49362,0.46984,0.93854,0,0.99457,0.85714,0.88725,0.75118,0.99457,0.85714,0.8853,0.83257,0.59896,1.67151,0.51358,1.05478,0,0.00098525,0.00098525,0.00098525
43,835.357,0.41631,0.49404,0.43365,0.93186,0,0.99329,0.85714,0.89281,0.75695,0.99329,0.85714,0.89071,0.8229,0.54842,1.71587,0.51225,1.08897,0,0.0009605,0.0009605,0.0009605
44,856.478,0.40067,0.44804,0.43851,0.92123,0,0.99041,0.85714,0.88927,0.75341,0.99041,0.85714,0.88726,0.83265,0.57978,1.85587,0.52825,1.06833,0,0.00093575,0.00093575,0.00093575
45,879.07,0.40191,0.44282,0.43685,0.91204,0,0.95072,0.85714,0.89767,0.75332,0.95072,0.85714,0.88713,0.83606,0.55808,2.28525,0.5448,1.06092,0,0.000911,0.000911,0.000911
46,902.276,0.40585,0.45907,0.44587,0.93556,0,0.92565,0.88946,0.89091,0.78546,0.92565,0.88946,0.88924,0.84074,0.51809,1.55834,0.55582,1.00163,0,0.00088625,0.00088625,0.00088625
47,925.073,0.39449,0.49629,0.4337,0.92037,0,0.95741,0.85714,0.88644,0.79105,0.95741,0.85714,0.88644,0.83324,0.49791,1.25729,0.57761,1.00257,0,0.0008615,0.0008615,0.0008615
48,948.023,0.39659,0.43846,0.40343,0.93112,0,0.96148,0.89151,0.89246,0.78781,0.96148,0.89151,0.89077,0.84428,0.52775,1.62983,0.53772,1.02339,0,0.00083675,0.00083675,0.00083675
49,971.143,0.37132,0.45118,0.39106,0.9084,0,0.96145,0.89081,0.89178,0.78,0.96145,0.89081,0.88538,0.81253,0.50476,2.53606,0.54324,1.00944,0,0.000812,0.000812,0.000812
50,994.096,0.35784,0.4416,0.39039,0.91644,0,0.95663,0.89286,0.8898,0.75622,0.95663,0.89286,0.88654,0.83134,0.5108,2.61147,0.51994,1.02446,0,0.00078725,0.00078725,0.00078725
51,1017.21,0.37937,0.42207,0.38665,0.91985,0,0.9583,0.89286,0.8953,0.76768,0.9583,0.89286,0.89077,0.82344,0.53691,1.20151,0.49767,1.0565,0,0.0007625,0.0007625,0.0007625
52,1040.28,0.36371,0.39975,0.38537,0.93561,0,0.96144,0.89047,0.89616,0.79386,0.96144,0.89047,0.89077,0.82807,0.51978,1.53366,0.51029,1.03158,0,0.00073775,0.00073775,0.00073775
53,1063.4,0.37058,0.41431,0.39489,0.91354,0,0.99186,0.82143,0.88974,0.78812,0.99186,0.82143,0.88841,0.83797,0.47332,0.97272,0.50499,0.99035,0,0.000713,0.000713,0.000713
54,1086.67,0.35882,0.38423,0.38936,0.90853,0,1,0.88997,0.89685,0.77844,1,0.88997,0.895,0.82872,0.47436,1.06344,0.47777,1.016,0,0.00068825,0.00068825,0.00068825
55,1110.26,0.34642,0.40502,0.36903,0.90631,0,0.96056,0.89286,0.8943,0.79681,0.96056,0.89286,0.89346,0.83997,0.48946,0.96831,0.49474,1.03107,0,0.0006635,0.0006635,0.0006635
56,1133.05,0.37769,0.42531,0.39055,0.92488,0,0.99135,0.82143,0.88912,0.79746,0.99135,0.82143,0.88718,0.82387,0.48528,1.35094,0.51392,1.04268,0,0.00063875,0.00063875,0.00063875
57,1152.16,0.33435,0.39406,0.37007,0.90769,0,0.91797,0.85714,0.87931,0.7824,0.91797,0.85714,0.8788,0.81066,0.44812,1.62422,0.50594,0.99609,0,0.000614,0.000614,0.000614
58,1171.6,0.33765,0.39726,0.37241,0.90112,0,0.92053,0.85714,0.86509,0.76893,0.92053,0.85714,0.86422,0.80793,0.47745,1.785,0.51233,1.00828,0,0.00058925,0.00058925,0.00058925
59,1192.02,0.33678,0.37018,0.33271,0.90907,0,0.96144,0.89054,0.89231,0.80587,0.96144,0.89054,0.89231,0.84059,0.43627,1.88243,0.49661,0.9767,0,0.0005645,0.0005645,0.0005645
60,1210.75,0.3332,0.40896,0.34478,0.90223,0,0.92577,0.89095,0.88981,0.80277,0.92577,0.89095,0.88981,0.83786,0.44113,1.73356,0.47099,0.98651,0,0.00053975,0.00053975,0.00053975
61,1229.39,0.33574,0.3903,0.36807,0.89877,0,0.92499,0.89286,0.88981,0.77747,0.92499,0.89286,0.88981,0.82859,0.49171,1.79285,0.45704,1.01476,0,0.000515,0.000515,0.000515
